x,y,z,shale5Thickness,shale1Thickness,shale2Thickness,shale3Thickness,shale4Thickness,aquifer1Thickness,aquifer2Thickness,aquifer3Thickness,aquifer4Thickness,reservoirThickness
296773.092,4365332.494,-1734.621067,1022.321067,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4365332.494,-1869.316759,1157.016759,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4380572.494,-976.5161064,264.2161064,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4380572.494,-1057.482569,345.1825688,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4380572.494,-1118.244144,405.944144,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4380572.494,-1191.848467,479.5484672,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4380572.494,-1262.537683,550.2376832,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4380572.494,-1336.677845,624.3778448,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4380572.494,-1448.291642,735.9916424,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4380572.494,-1567.624195,855.3241952,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4380572.494,-1686.709555,974.4095552,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4380572.494,-1807.062883,1094.762883,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4391070.415,-990.8996184,278.5996184,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4391070.415,-1069.734614,357.4346144,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4391070.415,-1123.257494,410.9574944,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4391070.415,-1192.11029,479.8102904,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4391070.415,-1258.711834,546.4118336,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4391070.415,-1326.514594,614.2145936,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4391070.415,-1432.684358,720.3843584,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4391070.415,-1542.154802,829.8548024,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4391070.415,-1650.773635,938.4736352,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4391070.415,-1759.88472,1047.58472,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4402039.405,-993.2188416,280.9188416,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4402039.405,-1073.028588,360.728588,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4402039.405,-1124.131661,411.8316608,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4402039.405,-1187.026531,474.7265312,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4402039.405,-1245.218338,532.9183376,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
